population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,cause_group
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1991,65263.68304633084,71482.87887878045,59988.53685393706,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,616.8081995150294,675.5859271085128,566.9527014304504,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,1,Number,1992,110645.72637588016,113578.51750768052,107599.787829931,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1992,1020.1218701189975,1047.161363392122,992.0391901318328,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1992,64804.49026145537,70076.88643639132,59218.57996389617,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1992,597.4788178717703,646.0887987734487,545.9783266579924,CMNN
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,687,Injuries,1,Number,1996,71184.33702139113,82913.9117570267,59321.730526529296,Injuries
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,687,Injuries,3,Rate,1996,35.24570265572186,41.053400257598064,29.372136661645225,Injuries
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,1,Number,1990,13972.36190646196,14183.472853367875,13774.18193454997,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,3,Rate,1990,458.5435524271799,465.4717700183474,452.039702258626,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,1636.385584099345,1734.613171705487,1534.0127441750506,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,53.702735721904986,56.92635870481971,50.34307426987557,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,687,Injuries,1,Number,1991,1085.9121770566007,1132.3918331948414,1037.8202233914735,Injuries
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,687,Injuries,3,Rate,1991,34.640197839819635,36.12288172363017,33.10608225970066,Injuries
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1990,241620.7775870907,257404.94065627296,227404.2697516794,NCD
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1990,352.51499455010384,375.54345350084606,331.77368152161176,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1993,795.9949079203868,820.6910686342553,767.9972510844333,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1993,280.99844624834253,289.716570849198,271.11484273377823,NCD
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,687,Injuries,1,Number,1992,1093.9165192155651,1139.6443840988254,1047.7765279774192,Injuries
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,687,Injuries,3,Rate,1992,33.861906619888444,35.27740100488426,32.4336549687762,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,1,Number,1993,110760.02489975438,114001.92018955208,107574.47500835816,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,3,Rate,1993,997.6158487855074,1026.8156085736832,968.9235921556432,All
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1993,64064.61986732036,69174.02709329854,59010.10450554151,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,577.0302072783243,623.050652210044,531.5041735183629,CMNN
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,687,Injuries,1,Number,1990,61839.77624876214,72438.13452898042,52956.22858793018,Injuries
1,All Population,1,Deaths,20,Vietnam,3,Both,22,All ages,687,Injuries,3,Rate,1990,90.22174584904867,105.68432422786611,77.26100718030983,Injuries
1,All Population,1,Deaths,15,Myanmar,3,Both,22,All ages,294,All causes,1,Number,1990,507787.86101359833,526193.9370287205,492893.9074471404,All
1,All Population,1,Deaths,15,Myanmar,3,Both,22,All ages,294,All causes,3,Rate,1990,1254.5221475543826,1299.9955268597637,1217.725689725572,All
