population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2006,3527082.8542687427,3863648.7150111417,3195377.9143891097
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2006,7292301.245323719,7988156.64391602,6606495.879782972
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2007,3801320.380957768,4082226.961825963,3507447.879814397
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2007,3555712.2089542635,3818469.0563308015,3280827.185995969
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2007,7357032.589912032,7900696.018156765,6788275.065810366
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2008,3852738.794120929,4126005.285646,3562661.342799279
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2008,3598128.410925657,3853335.934573695,3327220.8890967644
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2008,7450867.205046586,7979341.220219694,6889882.231896044
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2009,3919386.987253567,4184946.364951999,3663561.782426476
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2009,3654175.93066984,3901765.8444255264,3415661.5127320234
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2009,7573562.917923406,8086712.209377525,7079223.2951585
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2010,3996741.0987894847,4281702.710013625,3708074.710922323
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2010,3719490.050723339,3984684.080456039,3450848.242031916
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2010,7716231.149512824,8266386.790469664,7158922.952954239
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2011,4084690.572720943,4419611.269977073,3763653.8040262223
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2011,3793871.555713201,4104946.797305674,3495691.7441938063
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2011,7878562.128434143,8524558.067282747,7259345.54822003
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2012,4180255.493241651,4560911.60967142,3815495.05163809
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2012,3874818.106708802,4227660.944845408,3536709.499227362
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2012,8055073.599950452,8788572.554516828,7352204.550865453
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2013,4276740.304687032,4668780.858717629,3887412.431149724
