country,year,age_name,ncd_rate_per_100k,q5
Brunei Darussalam,1990,30-34 years,67.72375458258014,0.0033804642857873613
Brunei Darussalam,1990,35-39 years,104.75027314375563,0.005223833706996148
Brunei Darussalam,1990,40-44 years,172.38723888139168,0.008582374647356995
Brunei Darussalam,1990,45-49 years,269.86688171683073,0.013402918987018288
Brunei Darussalam,1990,50-54 years,519.0696693450037,0.025621006285724748
Brunei Darussalam,1990,55-59 years,885.5665299514231,0.04331927401826198
Brunei Darussalam,1990,60-64 years,1546.5618708215216,0.07444957181439768
Brunei Darussalam,1990,65-69 years,2670.239721571432,0.12515700586615283
Brunei Darussalam,1991,30-34 years,66.78902706863633,0.003333884680577446
Brunei Darussalam,1991,35-39 years,103.59250990988389,0.00516624588604053
Brunei Darussalam,1991,40-44 years,169.55553672209047,0.008441992173256021
Brunei Darussalam,1991,45-49 years,268.20177403046426,0.013320772332249084
Brunei Darussalam,1991,50-54 years,509.6058314300401,0.025159752654747094
Brunei Darussalam,1991,55-59 years,871.6913415763769,0.04265501685709084
Brunei Darussalam,1991,60-64 years,1521.7521437159153,0.07329903316453489
Brunei Darussalam,1991,65-69 years,2647.9154877124174,0.12417561127813276
Brunei Darussalam,1992,30-34 years,65.785370834748,0.0032838677802450073
Brunei Darussalam,1992,35-39 years,102.02024717262344,0.005088035293175352
Brunei Darussalam,1992,40-44 years,166.75630268153336,0.008303199861344078
Brunei Darussalam,1992,45-49 years,266.0352396796318,0.013213878053604388
Brunei Darussalam,1992,50-54 years,500.0550827981507,0.024694044577264897
Brunei Darussalam,1992,55-59 years,859.0760076342077,0.04205068207972671
Brunei Darussalam,1992,60-64 years,1492.1992607874938,0.07192673742882111
Brunei Darussalam,1992,65-69 years,2623.2866279945674,0.12309171044879577
Brunei Darussalam,1993,30-34 years,64.71550207567276,0.0032305484396773004
Brunei Darussalam,1993,35-39 years,100.54355144824822,0.005014572997957134
Brunei Darussalam,1993,40-44 years,163.50821049425645,0.008142127905626215
Brunei Darussalam,1993,45-49 years,262.0005626714259,0.01301478113406702
Brunei Darussalam,1993,50-54 years,490.7880215983592,0.024241959496395373
Brunei Darussalam,1993,55-59 years,843.0181714945526,0.04128089496005551
Brunei Darussalam,1993,60-64 years,1465.8101053922182,0.0706996970114231
Brunei Darussalam,1993,65-69 years,2577.688078670047,0.12108163665003596
Brunei Darussalam,1994,30-34 years,63.3732467482584,0.0031636500680033023
Brunei Darussalam,1994,35-39 years,98.82603393941905,0.004929123553680761
Brunei Darussalam,1994,40-44 years,159.65546003092618,0.007951037338446489
Brunei Darussalam,1994,45-49 years,256.4271047858966,0.012739685224345765
Brunei Darussalam,1994,50-54 years,481.1322320718273,0.023770690469504335
Brunei Darussalam,1994,55-59 years,823.2222527450072,0.04033107664300815
Brunei Darussalam,1994,60-64 years,1433.114941442168,0.06917727250136049
Brunei Darussalam,1994,65-69 years,2521.900303973505,0.11861653811073178
Brunei Darussalam,1995,30-34 years,62.326703368834416,0.0031114869503369794
Brunei Darussalam,1995,35-39 years,97.47302754019006,0.004861804008110065
Brunei Darussalam,1995,40-44 years,156.74871407285926,0.007806842889047289
Brunei Darussalam,1995,45-49 years,252.8012872512274,0.01256068045784898
Brunei Darussalam,1995,50-54 years,472.1586585173277,0.02333251668146257
Brunei Darussalam,1995,55-59 years,807.0010023894359,0.03955208579734553
Brunei Darussalam,1995,60-64 years,1408.4478718825283,0.06802707873718218
Brunei Darussalam,1995,65-69 years,2470.999593713373,0.11636173470610446
Brunei Darussalam,1996,30-34 years,61.05440059824121,0.003048067581432878
Brunei Darussalam,1996,35-39 years,95.82831483384196,0.00477996434349203
Brunei Darussalam,1996,40-44 years,153.35225760872726,0.007638329005502562
Brunei Darussalam,1996,45-49 years,248.1910100192305,0.012333026841253399
Brunei Darussalam,1996,50-54 years,461.5263163808256,0.022813094729645777
Brunei Darussalam,1996,55-59 years,788.6860682443321,0.038671805555332985
Brunei Darussalam,1996,60-64 years,1377.9009488701731,0.06660081431258764
Brunei Darussalam,1996,65-69 years,2402.454183640522,0.11331675158403559
Brunei Darussalam,1997,30-34 years,60.839347771506525,0.003037347632352634
Brunei Darussalam,1997,35-39 years,95.66150302603924,0.004771663538650915
Brunei Darussalam,1997,40-44 years,151.45910787593326,0.007544388734118193
Brunei Darussalam,1997,45-49 years,246.97057337083157,0.012272753444664886
Brunei Darussalam,1997,50-54 years,455.6504604635294,0.022525924328361847
Brunei Darussalam,1997,55-59 years,777.6922503116419,0.03814302415829814
Brunei Darussalam,1997,60-64 years,1363.2198389183866,0.06591459002597964
Brunei Darussalam,1997,65-69 years,2347.378788475388,0.1108630028885856
Brunei Darussalam,1998,30-34 years,60.4721380048244,0.003019042701069681
Brunei Darussalam,1998,35-39 years,95.23803624736344,0.004750590888686843
Brunei Darussalam,1998,40-44 years,149.95300536234012,0.007469647864460152
Brunei Darussalam,1998,45-49 years,245.7168866057911,0.01221083412667788
Brunei Darussalam,1998,50-54 years,451.8344098053945,0.022339377998436147
Brunei Darussalam,1998,55-59 years,765.3488138786844,0.037548988842117756
Brunei Darussalam,1998,60-64 years,1342.2564832242754,0.06493387625171992
Brunei Darussalam,1998,65-69 years,2307.4074036477527,0.10907817544257309
Brunei Darussalam,1999,30-34 years,59.484753048151155,0.0029698211754271217
Brunei Darussalam,1999,35-39 years,94.13520771476688,0.004695709595784159
Brunei Darussalam,1999,40-44 years,148.31472705134587,0.007388341356774987
Brunei Darussalam,1999,45-49 years,244.12543526875345,0.012132227132698936
Brunei Darussalam,1999,50-54 years,444.2216776465316,0.021967127031748634
Brunei Darussalam,1999,55-59 years,746.4019580445872,0.036636459769534314
Brunei Darussalam,1999,60-64 years,1312.5956200132819,0.06354457280226732
Brunei Darussalam,1999,65-69 years,2243.1388003688,0.10620133181719044
Brunei Darussalam,2000,30-34 years,58.80121768432212,0.002935745249329318
Brunei Darussalam,2000,35-39 years,93.34259990390404,0.004656264299805613
Brunei Darussalam,2000,40-44 years,147.00519473956786,0.007323345491226321
Brunei Darussalam,2000,45-49 years,241.71348345893173,0.012013081081067103
Brunei Darussalam,2000,50-54 years,436.7861480832129,0.021603405695183688
Brunei Darussalam,2000,55-59 years,727.2684004268514,0.03571407702949354
Brunei Darussalam,2000,60-64 years,1282.9489561212295,0.06215393951070932
Brunei Darussalam,2000,65-69 years,2185.4442310204004,0.10361129393599551
Brunei Darussalam,2001,30-34 years,57.9141641028567,0.0028915217035816307
Brunei Darussalam,2001,35-39 years,92.38162435038033,0.0046084378431772545
Brunei Darussalam,2001,40-44 years,145.72178415170322,0.007259642007942661
Brunei Darussalam,2001,45-49 years,237.97840915290206,0.011828546987776566
Brunei Darussalam,2001,50-54 years,429.8073353018104,0.021261903710657486
Brunei Darussalam,2001,55-59 years,713.9469184263929,0.03507136853407222
Brunei Darussalam,2001,60-64 years,1258.0816542178168,0.060985950086663965
Brunei Darussalam,2001,65-69 years,2129.9812635129656,0.10111475009639534
Brunei Darussalam,2002,30-34 years,56.90404964629384,0.0028411606436566984
Brunei Darussalam,2002,35-39 years,91.88202161636937,0.00458357238339818
Brunei Darussalam,2002,40-44 years,143.95960889229391,0.007172167882532714
Brunei Darussalam,2002,45-49 years,236.28305596334127,0.011744775511928018
Brunei Darussalam,2002,50-54 years,426.31227705182204,0.02109083183893675
Brunei Darussalam,2002,55-59 years,703.8556952271184,0.034584227130583685
Brunei Darussalam,2002,60-64 years,1234.3519417314826,0.05987007839850389
Brunei Darussalam,2002,65-69 years,2087.8040513223937,0.09921183099866646
Brunei Darussalam,2003,30-34 years,55.78451558392131,0.002785341306308358
Brunei Darussalam,2003,35-39 years,91.73696663748166,0.004576352813739199
Brunei Darussalam,2003,40-44 years,142.0447719506615,0.007077106946476009
Brunei Darussalam,2003,45-49 years,235.67865098214818,0.011714908702125012
Brunei Darussalam,2003,50-54 years,423.1969650097094,0.020938322388307305
Brunei Darussalam,2003,55-59 years,693.7835654316989,0.03409776652083293
Brunei Darussalam,2003,60-64 years,1211.8684827389982,0.05881162526016368
Brunei Darussalam,2003,65-69 years,2039.5110883831208,0.09702829721760033
Brunei Darussalam,2004,30-34 years,55.02209527313247,0.002747325673283081
Brunei Darussalam,2004,35-39 years,91.12710424345899,0.004545998619919748
Brunei Darussalam,2004,40-44 years,140.38085828299754,0.006994495581824051
Brunei Darussalam,2004,45-49 years,233.88269486140172,0.011626155826679528
