location_name,year,CMNN,Injuries,NCD,cmnn_share_pct,ncd_share_pct,injuries_share_pct,cmnn_ncd_ratio
Brunei Darussalam,1990,3913.7517844570257,4018.814919086368,25281.14620658648,11.7835419215157,76.11659158671166,12.09986649177264,0.1548091115994329
Brunei Darussalam,1991,3801.186534602135,3906.0318964604894,25076.535598869497,11.594726251092501,76.49073860172999,11.91453514717752,0.15158340033116458
Brunei Darussalam,1992,3679.082247064708,3822.3342234777074,24853.391055218115,11.371052799913784,76.81514110516692,11.813806094919304,0.14803139897049433
Brunei Darussalam,1993,3559.980083874181,3739.4765475078334,24589.904385847312,11.163535330641396,77.11005677586881,11.726407893489782,0.14477405149745615
Brunei Darussalam,1994,3437.3008397468907,3647.4456158135695,24272.30922017865,10.961809920203457,77.40621272346716,11.63197735632938,0.14161408412221899
Brunei Darussalam,1995,3329.29560566832,3563.161317266631,24077.034202782503,10.750243173687899,77.74436494627653,11.505391880035566,0.13827681506070064
Brunei Darussalam,1996,3227.788091308188,3490.164887863957,23763.99720060955,10.589178422872498,77.96088196604927,11.449939611078234,0.13582681667818894
Brunei Darussalam,1997,3170.375766058049,3410.647695641482,23576.681009561347,10.512656124338953,78.17796952028961,11.309374355371435,0.13447082584577222
Brunei Darussalam,1998,3126.07352631149,3327.3201415905155,23392.26852702628,10.474130230029568,78.37744853589263,11.148421234077798,0.13363704006303526
Brunei Darussalam,1999,3075.1333670329373,3234.891350912833,23081.41903836204,10.462682243613743,78.53108282034785,11.00623493603842,0.13322982273845335
Brunei Darussalam,2000,3012.8949743099347,3141.469283959023,22868.13152654894,10.381240113353812,78.7945037397907,10.824256146855477,0.13175081535682487
Brunei Darussalam,2001,2930.5908425973125,3055.169182211749,22574.669527652062,10.261018088731008,79.04177171490316,10.697210196365821,0.12981766306734133
Brunei Darussalam,2002,2859.5439164431086,2975.827749223028,22351.15838409686,10.145072527177403,79.29730387045211,10.557623602370489,0.12793716850387993
Brunei Darussalam,2003,2813.945448083193,2895.0679909029427,22123.54085518618,10.110266626417351,79.488000351511,10.401733022071651,0.1271923633970893
Brunei Darussalam,2004,2757.138949734496,2817.66919347271,21841.57648506284,10.056537311967487,79.66614410034641,10.277318587686093,0.12623351394163632
Brunei Darussalam,2005,2686.922776643311,2765.07337478125,21666.791463305915,9.9079752930541,79.89587060867305,10.196154098272844,0.1240111061757245
Brunei Darussalam,2006,2609.270978487936,2719.796494517504,21362.65646336208,9.775580568375354,80.03475726892043,10.18966216270421,0.12214169070981194
Brunei Darussalam,2007,2562.282752131205,2672.392987891656,21051.53138801192,9.74763205528605,80.0858461073299,10.166521837384039,0.1217147914279686
Brunei Darussalam,2008,2506.00731308314,2640.8779762368035,20756.433267355937,9.674464326260175,80.13040190947474,10.195133764265076,0.12073400476874746
Brunei Darussalam,2009,2469.0521285892505,2607.1300563350933,20553.7609076703,9.63346707274837,80.19432908381671,10.172203843434913,0.12012653740989289
Brunei Darussalam,2010,2444.5918963421072,2566.679090792052,20362.131434450635,9.634466264021919,80.24990537780168,10.115628358176414,0.12005579593726169
Brunei Darussalam,2011,2412.8870616435765,2504.416127194292,20148.61705866581,9.626165877089138,80.38251482377719,9.991319299133682,0.11975447518894637
Brunei Darussalam,2012,2387.318796115627,2455.458645589016,19985.721565470383,9.615236085861376,80.49508574680588,9.889678167332747,0.11945121862601306
Brunei Darussalam,2013,2389.662635641333,2410.1565367174103,19904.16228897185,9.673188264741444,80.57066558331113,9.756146151947426,0.12005843807681148
Brunei Darussalam,2014,2371.5461835376977,2367.2490080153666,19761.402864268868,9.679702091119022,80.65813516790328,9.662162740977688,0.12000899935225526
Brunei Darussalam,2015,2357.8264684796472,2376.202185863427,19702.840873343896,9.648643684937754,80.627515938654,9.723840376408239,0.11966936563293096
Brunei Darussalam,2016,2349.911842409856,2294.422109687766,19635.168643995505,9.67858313039735,80.87137933029587,9.450037539306786,0.11967871959828907
Brunei Darussalam,2017,2309.2263344088165,2276.584399680153,19510.82789555627,9.583188634317889,80.96908533770677,9.447726027975339,0.11835614289513359
Brunei Darussalam,2018,2246.899777742423,2232.84403020701,19323.99274595396,9.43927342102083,81.18050165021327,9.380224928765912,0.11627513047027388
Brunei Darussalam,2019,2195.1920846857333,2209.056972362589,19301.755544259267,9.260067740662842,81.42137770105137,9.318554558285797,0.11373017752981686
Brunei Darussalam,2020,2201.4802885989943,2198.581182518581,19348.49357977182,9.269954672533004,81.47229816008199,9.257747167385002,0.11378044908367263
Brunei Darussalam,2021,2537.018935276751,2188.616032783334,19482.599793798847,10.479983196767112,80.47922529442121,9.040791508811656,0.13021973258847433
Brunei Darussalam,2022,2993.501161152811,2176.6865504975026,19553.40923060569,12.107870744472901,79.08804401023964,8.804085245287462,0.1530935667457559
