cause_group,pop_size,age_structure,age_rate,total_decomp,observed_change,residual,direction
CMNN,3247842.317505668,-1508711.0383479963,-8184519.739394551,-6445388.460236879,-6445388.46023688,-9.313225746154785e-10,decrease
NCD,6257107.694348078,6080731.321756319,-1710854.5889336248,10626984.427170772,10626984.427170772,0.0,increase
